confidence,scale_threshold_px,band,source,candidate,domain,scale_threshold_norm
0.3,,0.3461797752388298,aitod,aitod_baseline640,normalized,0.03
0.35,,0.0002717905967073442,aitod,aitod_baseline640,normalized,0.005
0.35,,0.0003027854708452793,aitod,aitod_baseline640,normalized,0.0075
0.35,,0.007284773444276971,aitod,aitod_baseline640,normalized,0.01
0.35,,0.14204457989850006,aitod,aitod_baseline640,normalized,0.015
0.35,,0.21709992906925274,aitod,aitod_baseline640,normalized,0.02
0.35,,0.3592766037251867,aitod,aitod_baseline640,normalized,0.03
0.4,,0.00038638709266852755,aitod,aitod_baseline640,normalized,0.005
0.4,,0.0007399957509733324,aitod,aitod_baseline640,normalized,0.0075
0.4,,0.006275199028175027,aitod,aitod_baseline640,normalized,0.01
0.4,,0.14279512767865116,aitod,aitod_baseline640,normalized,0.015
0.4,,0.21798280148975455,aitod,aitod_baseline640,normalized,0.02
0.4,,0.36800176558297704,aitod,aitod_baseline640,normalized,0.03
0.5,,0.0004964057534109223,aitod,aitod_baseline640,normalized,0.005
0.5,,0.001997453689876083,aitod,aitod_baseline640,normalized,0.0075
0.5,,0.0020771426030928852,aitod,aitod_baseline640,normalized,0.01
0.5,,0.1296616183251295,aitod,aitod_baseline640,normalized,0.015
0.5,,0.19935185249963966,aitod,aitod_baseline640,normalized,0.02
0.5,,0.36781505321130414,aitod,aitod_baseline640,normalized,0.03
